date,protocol,program_name,app_name,top_level_name,parent_protocol,is_external_dex_bridge_pool,net_dollar_flow,net_price_stock_change,last_price_net_dollar_flow,usd_value,tvl_change,error,cumul_net_dollar_flow,cumul_last_price_net_dollar_flow,cumul_net_price_stock_change,program_name_join,protocol_join,app_name_join,top_level_name_join,parent_protocol_join,include_in_summary,op_source,start_date,end_date,num_op,num_op_override,cumul_net_dollar_flow_if_ended,cumul_last_price_net_dollar_flow_if_ended,program_rank_desc,cumul_net_dollar_flow_at_program_end,cumul_last_price_net_dollar_flow_at_program_end,cumul_net_price_stock_change_at_program_end,num_op_override_at_program_end,cumul_net_dollar_flow_if_ended_at_program_end,cumul_last_price_net_dollar_flow_if_ended_at_program_end,period
2022-07-13,velodrome,Velodrome - Velodrome #1 ,Velodrome,Velodrome #1 ,Velodrome,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,Velodrome - Velodrome #1 ,velodrome,Velodrome,Velodrome #1 ,Velodrome,1,Partner Fund,2022-07-13,2022-11-17,3000000.0,3000000.0,0.0,0.0,158,0.0,0.0,0.0,6000000.0,0.0,0.0,During Program
2022-07-14,perpetual-protocol,Perpetual Protocol,Perpetual Protocol,Perpetual protocol,Perpetual protocol,0.0,-118571.05476214855,2.1519909483064104e-06,-118571.0547621394,27839346.34734,,,-118571.05476214855,-118571.0547621394,2.1519909483064104e-06,Perpetual Protocol,perpetual-protocol,Perpetual Protocol,Perpetual protocol,Perpetual protocol,1,Governance - Phase 0,2022-07-14,,9000000.0,,,,344,-9135906.118365282,-9147841.843738338,-18515.44399471319,0.0,0.0,0.0,During Program
2022-07-14,velodrome,Velodrome - Velodrome #1 ,Velodrome,Velodrome #1 ,Velodrome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Velodrome - Velodrome #1 ,velodrome,Velodrome,Velodrome #1 ,Velodrome,1,Partner Fund,2022-07-13,2022-11-17,3000000.0,3000000.0,0.0,0.0,157,0.0,0.0,0.0,6000000.0,0.0,0.0,During Program
2022-07-15,perpetual-protocol,Perpetual Protocol,Perpetual Protocol,Perpetual protocol,Perpetual protocol,0.0,85964.76115228688,7.713076173498916e-06,85964.76115226306,27925311.1085,85964.76116000116,1.1932570487260818e-09,-32606.293609861663,-32606.293609876346,9.865067121805326e-06,Perpetual Protocol,perpetual-protocol,Perpetual Protocol,Perpetual protocol,Perpetual protocol,1,Governance - Phase 0,2022-07-14,,9000000.0,,,,343,-9135906.118365282,-9147841.843738338,-18515.44399471319,0.0,0.0,0.0,During Program
2022-07-15,rubicon,Rubicon,Rubicon,Rubicon,Rubicon,0.0,2904.5467068262424,10075.497223173734,2676.9948056246367,701315.51103,,,2904.5467068262424,2676.9948056246367,10075.497223173734,Rubicon,rubicon,Rubicon,Rubicon,Rubicon,1,Governance - Phase 0,2022-07-15,2023-02-10,900000.0,,2904.5467068262424,2676.9948056246367,241,9296231.853667293,9090736.57116614,3839408.488212707,0.0,9296231.853667293,9090736.57116614,During Program
2022-07-15,thales,Thales,Thales,Thales,Thales,0.0,9680.946428244808,-162.55213824481677,9690.550541511035,173533.50611,,,9680.946428244808,9690.550541511035,-162.55213824481677,Thales,thales,Thales,Thales,Thales,1,Governance - Phase 0,2022-07-15,,900000.0,,,,343,1200921.611233101,1199550.5586772163,-3594.3976331010113,0.0,0.0,0.0,During Program
2022-07-15,velodrome,Velodrome - Velodrome #1 ,Velodrome,Velodrome #1 ,Velodrome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Velodrome - Velodrome #1 ,velodrome,Velodrome,Velodrome #1 ,Velodrome,1,Partner Fund,2022-07-13,2022-11-17,3000000.0,3000000.0,0.0,0.0,156,0.0,0.0,0.0,6000000.0,0.0,0.0,During Program
2022-07-16,perpetual-protocol,Perpetual Protocol,Perpetual Protocol,Perpetual protocol,Perpetual protocol,0.0,9454.523079998791,-27897.413700000285,9463.977603080553,27906868.21788,-18442.89062000066,8.330971468240023e-10,-23151.77052986287,-23142.316006795794,-27897.413690135218,Perpetual Protocol,perpetual-protocol,Perpetual Protocol,Perpetual protocol,Perpetual protocol,1,Governance - Phase 0,2022-07-14,,9000000.0,,,,342,-9135906.118365282,-9147841.843738338,-18515.44399471319,0.0,0.0,0.0,During Program
2022-07-16,rubicon,Rubicon,Rubicon,Rubicon,Rubicon,0.0,75140.00381550514,3747.409924494855,74784.11398704564,780202.9247699999,78887.41373999987,-1.3096723705530167e-10,78044.55052233138,77461.10879267027,13822.90714766859,Rubicon,rubicon,Rubicon,Rubicon,Rubicon,1,Governance - Phase 0,2022-07-15,2023-02-10,900000.0,,78044.55052233138,77461.10879267027,240,9296231.853667293,9090736.57116614,3839408.488212707,0.0,9296231.853667293,9090736.57116614,During Program
2022-07-16,thales,Thales,Thales,Thales,Thales,0.0,34523.44944819618,172.15625180385726,34489.23393918208,208229.11181,34695.605700000015,-2.1827872842550278e-11,44204.39587644099,44179.78448069311,9.604113559040485,Thales,thales,Thales,Thales,Thales,1,Governance - Phase 0,2022-07-15,,900000.0,,,,342,1200921.611233101,1199550.5586772163,-3594.3976331010113,0.0,0.0,0.0,During Program
2022-07-16,velodrome,Velodrome - Velodrome #1 ,Velodrome,Velodrome #1 ,Velodrome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Velodrome - Velodrome #1 ,velodrome,Velodrome,Velodrome #1 ,Velodrome,1,Partner Fund,2022-07-13,2022-11-17,3000000.0,3000000.0,0.0,0.0,155,0.0,0.0,0.0,6000000.0,0.0,0.0,During Program
2022-07-17,perpetual-protocol,Perpetual Protocol,Perpetual Protocol,Perpetual protocol,Perpetual protocol,0.0,63494.33635165585,-7590.6681616565165,63511.61151000112,27962771.88607,55903.668189998716,-6.184563972055912e-10,40342.56582179298,40369.29550320533,-35488.081851791736,Perpetual Protocol,perpetual-protocol,Perpetual Protocol,Perpetual protocol,Perpetual protocol,1,Governance - Phase 0,2022-07-14,,9000000.0,,,,341,-9135906.118365282,-9147841.843738338,-18515.44399471319,0.0,0.0,0.0,During Program
2022-07-17,rubicon,Rubicon,Rubicon,Rubicon,Rubicon,0.0,73992.82311410506,19438.456375894915,71334.3320483384,873634.20426,93431.2794900001,1.1641532182693481e-10,152037.37363643644,148795.44084100868,33261.3635235635,Rubicon,rubicon,Rubicon,Rubicon,Rubicon,1,Governance - Phase 0,2022-07-15,2023-02-10,900000.0,,152037.37363643644,148795.44084100868,239,9296231.853667293,9090736.57116614,3839408.488212707,0.0,9296231.853667293,9090736.57116614,During Program
2022-07-17,thales,Thales,Thales,Thales,Thales,0.0,11634.035261666097,-412.7435316660993,11657.141587896362,219450.40354,11221.291729999997,0.0,55838.43113810709,55836.92606858948,-403.13941810705876,Thales,thales,Thales,Thales,Thales,1,Governance - Phase 0,2022-07-15,,900000.0,,,,341,1200921.611233101,1199550.5586772163,-3594.3976331010113,0.0,0.0,0.0,During Program
