name,chainId
Harmony,1666600000
Moonbeam,1284
Aurora,1313161554
Fraxtal,252
Celo,42220
Mantle,5000
BSC,56
X Layer,
Kava,
Optimism,10
Base,8453
Fantom,250
Ethereum,1
Gnosis,100
Arbitrum,42161
Avalanche,43114
Polygon,137
Palm,11297108109
Linea,
Boba_Bnb,
Boba,288
Blast,81457
CORE,
ZetaChain,7000
HAQQ,11235
Metis,1088
ThunderCore,108
Rootstock,30
SKALE Europa,
Heco,128
Bittorrent,199
Telos,40
Polygon zkEVM,1101
Scroll,534352
OKTChain,66
Moonriver,1285
Arbitrum Nova,42170
Filecoin,
Fuse,122
Conflux,
Taiko,167000
Velas,106
Cronos,25
Oasis Emerald,42262
ZKsync Era,324
Binance,56
Solana,
Manta,169
Doge,
Litecoin,
KCC,321
IoTeX,4689
Bitcoin,
Wanchain,888
Ontology,
OntologyEVM,58
opBNB,204
Aptos,
Ronin,2020
Evmos,9001
Canto,
Astar,592
Energi,39797
Hedera,
Songbird,19
Flare,
Kaia,8217
Bifrost Network,
Terra Classic,
Horizen EON,7332
Zilliqa,
NEO,
Secret,
BOB,60808
Cube,1818
Bitgert,32520
Sifchain,
re.al,111188
Elastos,20
REI,47805
Nuls,
Osmosis,
Shibarium,
CosmosHub,
Thorchain,
Bitcoincash,
Hoo,70
Q Protocol,35441
Neon,245022934
Tron,
Archway,
Injective,
Sui,
Icon,
Karura,
Tezos,
Terra2,
Wax,
EOS,
Etherlink,42793
Meter,82
Near,
DFS Network,
Genshiro,
Rollux,
Lamden,
Waves,
CLV,1024
Shiden,336
EnergyWeb,246
Algorand,
GoChain,60
HPB,269
Fusion,32659
Viction,88
Kardia,0
Sora,
Radix,
Dogechain,
Milkomeda C1,2001
Cardano,
smartBCH,10000
ZKsync Lite,
Empire,
Juno,
Polis,333999
ZYX,55
MultiversX,
Stellar,
Step,
Ubiq,8
Mixin,
Everscale,
VeChain,
GodwokenV1,71402
Godwoken,71394
Callisto,820
EthereumClassic,61
Stacks,
Echelon,
CSC,52
XDC,
Ergo,
Nahmii,5551
DefiChain,
Theta,361
Syscoin,57
Equilibrium,
Acala,
Neutron,
Proton,
Kadena,
Kujira,
Goerli,
Vite,
Boba_Avax,
zkLink Nova,810180
Gravity,1625
Merlin,
Mode,34443
Bahamut,
Sei,
BSquared,
DFK,53935
Milkomeda A1,2002
Findora,2152
Hydra,
Obyte,
Lachain,225
REIchain,55555
SXnetwork,
MultiVAC,
ICP,
Nova Network,87
Ultron,1231
Zkfair,42766
Kroma,255
OXFUN,6699
Cronos zkEVM,388
WEMIX3.0,
Kintsugi,
Chiliz,88888
Dexit,
Omax,
PulseChain,
Flow,747
Bitkub Chain,96
Ancient8,888888888
Parallel,
Heiko,
ShimmerEVM,148
LightLink,1890
Loop,
Carbon,
Starcoin,
Bifrost,
Tombchain,
Crescent,
Vision,
Interlay,
Pego,
EthereumPoW,
FunctionX,
Zora,7777777
Lisk,1135
World Chain,480
Kekchain,420420
Immutable zkEVM,13371
Astar zkEVM,3776
MUUCHAIN,20402
Rari,1380012617
Reya Network,1729
Xai,
Sanko,1996
ApeChain,33139
TON,
Starknet,
MAP Protocol,
DSC,
ALV,
Comdex,
Tlchain,
Zeniq,
Bitindi,
Stargaze,
Libre,
UX,
Oraichain,
inEVM,2525
Dexalot,432204
Darwinia,
Crab,44
Rangers,
Lung,78887
Bone,
Persistence One,
IOTA EVM,8822
Polynomial,
EOS EVM,
Hyperliquid,
Oasys,
ENULS,
Grove,
XPLA,
Onus,
Concordium,
Migaloo,
Chihuahua,
Tenet,
Zircuit,48900
Bitlayer,200901
Alephium,
Aura Network,
Hydration,
MVC,
Beam,4337
NOS,
RENEC,
Nolus,
ETHF,
MEER,
Elysium,
Mayachain,
Dash,
Bostrom,
Degen,666666666
Chainflip,
FSC,
Newton,
JBC,
BounceBit,6001
Cyber,7560
Morph,
CMP,256256
BEVM,
AirDAO,16718
dYdX,
Bitnet,
Ham,5112
Areon Network,
Manta Atlantic,
XRPL,
Polkadot,
Bitrock,7171
Naka,
DeFiVerse,16116
Oasis Sapphire,23294
K2,2410
RSS3,
SatoshiVM,3109
Venom,
Planq,7070
LaChain Network,274
Endurance,648
DeFiChain EVM,1130
Genesys,16507
AILayer,2649
Polkadex,
aelf,
Lukso,42
Joltify,
Massa,
Mint,185
Aeternity,
Saakuru,7225878
Neo X Mainnet,47763
Dymension,
IDEX,
Electroneum,52014
HeLa,8668
Matchain,698
Shape,360
Fuel Ignition,
