week,chain,chainId,layer,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name,provider,is_upcoming,is_archived,is_current_chain,totalUsd_min,totalUsd_last,totalUsd_mean,transactions_sum,transactions_mean,canonicalUsd_min,canonicalUsd_last,canonicalUsd_mean,externalUsd_min,externalUsd_last,externalUsd_mean,nativeUsd_min,nativeUsd_last,nativeUsd_mean,weeks_live
2019-11-18,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,1.0
2019-11-18,gluon,,L2,False,,,Other EVMs,,,,False,True,False,1847.88,2391.84,2238.9225,0.0,,1847.88,2391.84,2238.9225,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2019-11-18,layer2,,,False,,,Other EVMs,,,,False,False,False,1847.88,2391.84,2238.9225,0.0,,1847.88,2391.84,2238.9225,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2019-11-18,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,1.0
2019-11-18,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,1.0
2019-11-18,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,1.0
2019-11-25,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,2.0
2019-11-25,bridge,,,False,,,Other EVMs,,,,False,False,False,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2019-11-25,gluon,,L2,False,,,Other EVMs,,,,False,True,False,2005.82,2005.82,2614.4500000000003,0.0,,2005.82,2005.82,2614.4500000000003,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2019-11-25,layer2,,,False,,,Other EVMs,,,,False,False,False,2005.82,2005.82,2614.4500000000003,0.0,,2005.82,2005.82,2614.4500000000003,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2019-11-25,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,2.0
2019-11-25,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,2.0
2019-11-25,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,2.0
2019-11-25,xdai,,,False,,,Other EVMs,,,,False,False,False,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2019-12-02,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,3.0
2019-12-02,bridge,,,False,,,Other EVMs,,,,False,False,False,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2019-12-02,gluon,,L2,False,,,Other EVMs,,,,False,True,False,1982.84,1982.84,2103.4814285714283,0.0,,1982.84,1982.84,2103.4814285714283,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2019-12-02,layer2,,,False,,,Other EVMs,,,,False,False,False,1982.84,1982.84,2103.4814285714283,0.0,,1982.84,1982.84,2103.4814285714283,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2019-12-02,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,3.0
2019-12-02,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,3.0
2019-12-02,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,3.0
2019-12-02,xdai,,,False,,,Other EVMs,,,,False,False,False,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2019-12-09,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,4.0
2019-12-09,bridge,,,False,,,Other EVMs,,,,False,False,False,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2019-12-09,gluon,,L2,False,,,Other EVMs,,,,False,True,False,1872.25,1935.18,1914.69,0.0,,1872.25,1935.18,1914.69,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2019-12-09,layer2,,,False,,,Other EVMs,,,,False,False,False,1872.25,1935.18,1914.69,0.0,,1872.25,1935.18,1914.69,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2019-12-09,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2019-12-09,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,4.0
2019-12-09,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,4.0
2019-12-09,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,4.0
2019-12-09,xdai,,,False,,,Other EVMs,,,,False,False,False,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2019-12-16,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,5.0
2019-12-16,bridge,,,False,,,Other EVMs,,,,False,False,False,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
