chain_id,chain_type,codebase,data_availability,dune_schema,explorer_link,first_block_time,layer,name,native_token_symbol,placeholder,rollup_type,last_updated
1,Layer 1,,,ethereum,https://etherscan.io/,2015-07-30 15:26:00,L1,Ethereum,ETH,All,,2024-06-18 01:06:28.656900
43114,Layer 1,,,avalanche_c,https://snowtrace.io/,2020-09-23 11:02:00,L1,Avalanche C-Chain,AVAX,All,,2024-06-18 01:06:28.656900
42161,Layer 2,Arbitrum,Ethereum Blobs,arbitrum,https://arbiscan.io/,2021-05-29 00:35:00,L2,Arbitrum One,ETH,All,Optimistic Rollup,2024-06-18 01:06:28.656900
10,Layer 2,OP Stack,Ethereum Blobs,optimism,https://explorer.optimism.io/,2021-11-11 21:16:00,L2,OP Mainnet,ETH,All,Optimistic Rollup,2024-06-18 01:06:28.656900
100,Layer 1,,,gnosis,https://gnosisscan.io/,2018-10-08 18:43:00,L1,Gnosis,xDAI,All,,2024-06-18 01:06:28.656900
137,Layer 1,,,polygon,https://polygonscan.com/,2020-05-30 16:30:00,L1,Polygon PoS,MATIC,All,,2024-06-18 01:06:28.656900
250,Layer 1,,,fantom,https://ftmscan.com/,2019-12-27 03:56:00,L1,Fantom,FTM,All,,2024-06-18 01:06:28.656900
56,Layer 1,,,bnb,https://bscscan.com/,2020-08-29 03:24:00,L1,BNB,BNB,All,,2024-06-18 01:06:28.656900
42220,Layer 1,,,celo,https://celoscan.io/,2020-04-22 16:00:00,L1,Celo,CELO,All,,2024-06-18 01:06:28.656900
8453,Layer 2,OP Stack,Ethereum Blobs,base,https://basescan.org/,2023-06-15 00:35:00,L2,Base,ETH,All,Optimistic Rollup,2024-06-18 01:06:28.656900
7777777,Layer 2,OP Stack,Ethereum Blobs,zora,https://explorer.zora.energy/,2023-06-14 00:03:00,L2,ZORA,ETH,All,Optimistic Rollup,2024-06-18 01:06:28.656900
534352,Layer 2,Scroll,Ethereum Blobs,scroll,https://scrollscan.com/,2023-10-10 06:00:00,L2,Scroll,ETH,All,ZK Rollup,2024-06-18 01:06:28.656900
324,Layer 2,zkSync,Ethereum Blobs,zksync,https://explorer.zksync.io/,2023-02-14 15:22:00,L2,zkSync Era,ETH,All,ZK Rollup,2024-06-18 01:06:28.656900
